performance_id,performance,isPremiere,concert,work,isCommission,isResidency,work_year,ensemble,season,venue,person,country
4,"Sylvain Pohu - L'identité",NONE,"Percussion and Electronics - Damien Harron",L'identité,0,1,2007,NULL,"GEMDays 2008","St-Paul's Hall",NULL,NULL
25,"Pierre Alexandre Tremblay - Sandbox#2.1 ",NONE,"Laptop - Ultre","Sandbox#2.1 ",0,0,2008,NULL,"GEMDays 2008",Quayside,NULL,NULL
5,"Javier Alvarez -Temazcal ",NONE,"Percussion and Electronics - Damien Harron",Temazcal,0,0,1984,NULL,"GEMDays 2008","St-Paul's Hall",NULL,NULL
6,"Judith Ring - PerForm ",NONE,"Percussion and Electronics - Damien Harron",PerForm,0,0,2007,NULL,"GEMDays 2008","St-Paul's Hall",NULL,NULL
7,"Geoff Cox - Vibraphone",WORLD,"Percussion and Electronics - Damien Harron","Vibraphone ",0,0,2008,NULL,"GEMDays 2008","St-Paul's Hall",NULL,NULL
8,"Vinko Globokar - Ombre ",NONE,"Percussion and Electronics - Damien Harron",Ombre,0,0,1989,NULL,"GEMDays 2008","St-Paul's Hall",NULL,NULL
9,"Michael Clarke - Enmeshed IIb",WORLD,"Percussion and Electronics - Damien Harron","Enmeshed IIb ",0,0,2008,NULL,"GEMDays 2008","St-Paul's Hall",NULL,NULL
10,"Damien Harron - Taking Sides",NONE,"Percussion and Electronics - Damien Harron","Taking Sides ",0,0,2005,NULL,"GEMDays 2008","St-Paul's Hall",NULL,NULL
11,"Alexis Makrides - Lavyrinthos",NONE,"Acousmatic - Gilles Gobeil",Lavyrinthos,0,0,2008,NULL,"GEMDays 2008","Drama Studio 1",NULL,NULL
12,"Monty Adkins - Five Panels no.1 – (for finn)",NONE,"Acousmatic - Gilles Gobeil","Five Panels no.1 – (for finn) ",0,0,2008,NULL,"GEMDays 2008","Drama Studio 1",NULL,NULL
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Dave Smith","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Anton Lukoszevieze","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Paul Archbold","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Stewart Worthy","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Ben Potts","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Delia Derbyshire","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Daphne Oram","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Jason Payne","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Ambrose Field","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","David Toop","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1",Autistici,"United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Philip Thomas","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Phil Maguire","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Rose Dodd","United Kingdom"
13,"Gilles Gobeil - Ombres, espaces, silences…",NONE,"Acousmatic - Gilles Gobeil","Ombres, espaces, silences… ",0,0,2005,Crank,"GEMDays 2008","Drama Studio 1","Trevor Wishart","United Kingdom"
